,valid_from,tags_before,comments,changeset_id
8599,2023-09-25 18:51:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744367
5850,2023-09-25 18:56:33+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '4'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744523
12548,2023-09-25 18:56:33+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744523
13930,2023-09-25 18:57:24+00:00,"{'boundary': 'administrative', 'admin_level': '4'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744548
13877,2023-09-25 18:58:28+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744588
8596,2023-09-25 18:58:28+00:00,"{'ref': 'western limit south Lachin corridor Russian Peacekeeping', 'boundary': 'administrative', 'admin_level': '3', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744588
1919,2023-09-25 18:58:28+00:00,{'natural': 'peak'},Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744588
3380,2023-09-25 18:58:28+00:00,{},Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744588
9211,2023-09-25 19:00:03+00:00,"{'boundary': 'administrative', 'admin_level': '5'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744643
7230,2023-09-25 19:00:03+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744643
13804,2023-09-25 19:00:03+00:00,"{'boundary': 'claimed_administrative', 'admin_level': '4'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744643
8594,2023-09-25 19:00:03+00:00,"{'boundary': 'administrative', 'admin_level': '4'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744643
10459,2023-09-25 19:01:58+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744716
13088,2023-09-25 19:01:58+00:00,"{'boundary': 'administrative', 'admin_level': '6'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744716
7800,2023-09-25 19:01:58+00:00,"{'boundary': 'administrative', 'admin_level': '4'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744716
8473,2023-09-25 19:01:58+00:00,{'note': 'Claimed territoy by the Republic of Artsakh'},Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744716
9262,2023-09-25 19:07:44+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744912
9783,2023-09-25 19:07:44+00:00,"{'boundary': 'administrative', 'admin_level': '5'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744912
7122,2023-09-25 19:07:44+00:00,"{'boundary': 'administrative', 'admin_level': '3', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744912
6428,2023-09-25 19:07:44+00:00,"{'note': 'This border will go into effect on 20 November 2020.', 'boundary': 'claimed_administrative'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141744912
4702,2023-09-25 23:20:46+00:00,"{'name': 'Qəhrəmanlı', 'place': 'village', 'population': '0', 'name:az': 'Qəhrəmanlı'}",There is no such a village,141751188
2575,2023-09-27 13:49:06+00:00,"{'name': 'Əsgəran Polis İdarəsi', 'amenity': 'police'}",https://hy.wikipedia.org/wiki/%D4%B1%D5%BD%D5%AF%D5%A5%D6%80%D5%A1%D5%B6,141821143
3424,2023-09-27 13:49:06+00:00,"{'name': 'Flash Yanacaq', 'amenity': 'fuel'}",https://hy.wikipedia.org/wiki/%D4%B1%D5%BD%D5%AF%D5%A5%D6%80%D5%A1%D5%B6,141821143
6420,2023-09-28 11:24:49+00:00,"{'name': 'Haterk', 'boundary': 'administrative'}",area,141860151
12722,2023-09-28 11:27:22+00:00,"{'name': 'Այգեստան', 'name:en': 'Aygestan', 'name:ru': 'Айгестан', 'name:hy': 'Այգեստան'}",area,141860247
10874,2023-09-28 13:21:34+00:00,"{'name': 'Border Azerbaijan - Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
15654,2023-09-28 13:21:34+00:00,"{'boundary': 'administrative', 'admin_level': '8'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
5451,2023-09-28 13:21:34+00:00,"{'boundary': 'administrative', 'admin_level': '8'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
7239,2023-09-28 13:21:34+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
8217,2023-09-28 13:21:34+00:00,{'landuse': 'military'},"Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
11907,2023-09-28 13:21:34+00:00,"{'boundary': 'administrative', 'admin_level': '4'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864426
13810,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
4423,2023-09-28 13:32:24+00:00,{'natural': 'peak'},"Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
7232,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
9264,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
13234,2023-09-28 13:32:24+00:00,"{'ref': 'western limit south Lachin corridor Russian Peacekeeping', 'boundary': 'administrative', 'admin_level': '3', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
7722,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
11880,2023-09-28 13:32:24+00:00,{'natural': 'ridge'},"Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
14672,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
7911,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
5721,2023-09-28 13:32:24+00:00,"{'boundary': 'claimed_administrative', 'admin_level': '4'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
13231,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
13087,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
5163,2023-09-28 13:32:24+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","Сепаратистский режим ""Нагорный Карабах"" прекратил существование",141864897
552,2023-09-28 13:59:17+00:00,{},area,141866066
7849,2023-09-28 13:59:17+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",area,141866066
11660,2023-09-28 17:49:20+00:00,{'barrier': 'gate'},add new informations,141875289
10275,2023-09-29 05:54:41+00:00,{},area,141895962
9529,2023-09-29 08:16:46+00:00,{},area,141900590
9217,2023-09-29 08:23:20+00:00,{'boundary': 'administrative'},area,141900766
1964,2023-09-29 10:24:43+00:00,"{'name': 'Խնկավան', 'place': 'village', 'name:en': 'Khnkavan', 'name:ru': 'Хнкаван', 'int_name': 'Khnkavan', 'name:hy': 'Խնկավան', 'name:az': 'Xanqutala'}",area,141905025
2382,2023-09-29 10:30:22+00:00,"{'name': 'Գազարահող', 'place': 'village', 'name:en': 'Gazanahogh', 'name:ru': 'Газарайохер', 'population': '75', 'name:tr': 'Gazarahox', 'name:az': 'Gazarahox'}",area,141905199
6222,2023-09-29 10:38:20+00:00,"{'boundary': 'administrative', 'admin_level': '6'}",area,141905512
3303,2023-09-29 10:50:23+00:00,"{'name': 'Ամարաս', 'place': 'village', 'name:en': 'Amaras', 'wikidata': 'Q4593362', 'alt_name': 'Divanlylar', 'wikipedia': 'az:Divanalılar', 'int_name': 'Amaras', 'abandoned': 'yes', 'name:hy': 'Ամարաս', 'name:az': 'Divanalılar'}",area,141906026
3595,2023-09-29 13:17:15+00:00,"{'name': 'Ջրաբերդ', 'place': 'village', 'name:en': 'Jraberd', 'name:ru': 'Джраберд', 'name:hy': 'Ջրաբերդ'}",area,141912317
9785,2023-09-29 13:17:15+00:00,"{'name': 'Ջրաբերդ', 'landuse': 'residential', 'place': 'village', 'name:en': 'Jraberd', 'name:ru': 'Джраберд', 'name:hy': 'Ջրաբերդ'}",area,141912317
12709,2023-09-29 17:55:17+00:00,{'barrier': 'gate'},place is not true,141924685
1349,2023-09-29 20:18:37+00:00,"{'name': '""Արմենիա"" Հյուրանոց', 'operator': '""Ալյուս Գրուպ""', 'name:en': '""Armenia"" Hotel', 'website': 'http://armeniahotel.am', 'tourism': 'hotel', 'phone': '+374 47 94 94 00', 'description': 'General inquiries: +374 47 94 88 02', 'name:ru': 'Гостиница ""Армения""', 'name:fr': '""Arménie"" Hôtel', 'email': 'info@armeniahotel.am', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'stars': '3', 'rooms': '55', 'name:hy': '""Արմենիա"" Հյուրանոց'}",Azerbaijani police vehicles were seen in Stepanakert[190] and officials placed the flag of Azerbaijan on the city's We Are Our Mountains monument. added street names azerbaijan lang,141929212
1399,2023-09-29 20:35:07+00:00,"{'addr:housenumber': '64', 'addr:street': 'Վ. Մամիկոնյան փողոց', 'addr:city': 'Ստեփանակերտ'}",wrong,141929751
1352,2023-09-29 20:35:07+00:00,"{'addr:housenumber': '10', 'addr:street': 'Կարո Ալվարյան փողոց', 'addr:city': 'Ստեփանակերտ'}",wrong,141929751
1298,2023-09-29 20:44:41+00:00,"{'name': 'Ստեփանակերտի Սայաթ-Նովայի անվան Երաժշտական Քոլեջ', 'amenity': 'college', 'name:en': ""Stepanakert's Music College"", 'name:ru': 'Степанакертский Музыкальный Колледж им. Саят-Новы', 'name:hy': 'Ստեփանակերտի Սայաթ-Նովայի անվան Երաժշտական Քոլեջ'}",false information,141930090
8400,2023-09-29 21:01:54+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","zg reported that Azerbaijani forces had captured the settlements of Drmbon and Harav;[83] later that day, Chankatagh, Chapar, Karmir Shuka, Khachmach, Machkalashen, Sarushen, Shosh and Vaghuhas were also reported to have been captured",141930648
7699,2023-09-29 21:16:13+00:00,{'building': 'yes'},"new and correct informations, also place changed",141931025
6971,2023-09-29 21:16:13+00:00,{'building': 'yes'},"new and correct informations, also place changed",141931025
6999,2023-09-29 21:16:13+00:00,{'building': 'yes'},"new and correct informations, also place changed",141931025
8381,2023-09-29 21:16:13+00:00,{'building': 'yes'},"new and correct informations, also place changed",141931025
12545,2023-09-29 21:19:23+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2'}",controled by azerbaijan army,141931109
10609,2023-09-29 21:19:23+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931109
3645,2023-09-29 21:19:23+00:00,{},controled by azerbaijan army,141931109
11267,2023-09-29 21:19:23+00:00,"{'boundary': 'administrative', 'admin_level': '4'}",controled by azerbaijan army,141931109
11910,2023-09-29 21:19:23+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931109
2181,2023-09-29 21:19:23+00:00,{'natural': 'peak'},controled by azerbaijan army,141931109
7231,2023-09-29 21:19:23+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931109
5848,2023-09-29 21:19:23+00:00,{'natural': 'ridge'},controled by azerbaijan army,141931109
13177,2023-09-29 21:19:23+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931109
6513,2023-09-29 21:19:23+00:00,{'natural': 'ridge'},controled by azerbaijan army,141931109
273,2023-09-29 21:19:47+00:00,"{'addr:housenumber': '27', 'addr:street': 'Մարշալ Բաղրամյան 1-ին փակուղի', 'name': 'Թիվ 4 Դպրոց', 'addr:city': 'Ստեփանակերտ', 'amenity': 'school', 'name:en': 'School No 4', 'name:ru': 'Школа № 4', 'name:hy': 'Թիվ 4 Դպրոց'}",add new informations,141931115
1542,2023-09-29 21:27:06+00:00,"{'name': 'ԵՊՀ-ին առընթեր,Ա. Շահինյանի ան. ֆիզիկամաթեմատիկական թեքումով հատուկ դպրոց, Ստեփանակերտի մասնա-ղ', 'amenity': 'school', 'name:hy': 'Ֆիզմաթ դպրոց'}",add new informations,141931287
10608,2023-09-29 21:29:10+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931336
5452,2023-09-29 21:30:08+00:00,"{'name': 'Border Azerbaijan - Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931368
3975,2023-09-29 21:31:37+00:00,"{'name': 'Mesrop Mashtots University', 'amenity': 'university'}","new and correct informations, also place changed",141931403
15342,2023-09-29 21:32:35+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141931426
11270,2023-09-29 21:33:05+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2'}",controled by azerbaijan army,141931434
6713,2023-09-29 21:34:07+00:00,{'barrier': 'wall'},it is not true,141931452
14845,2023-09-29 21:37:48+00:00,{'building': 'yes'},"new and correct informations, also place changed",141931584
3934,2023-09-30 08:08:05+00:00,"{'name': 'Ուրախաչ', 'place': 'locality', 'name:en': 'Urakhach', 'name:ru': 'Урахач', 'population': '0', 'name:hy': 'Ուրախաչ', 'name:az': 'Ulubaba'}",area,141940478
2316,2023-09-30 08:10:22+00:00,"{'highway': 'motorway_junction', 'name': 'Վառնկաթաղ', 'name:en': 'Varnkatagh'}",road,141940536
11613,2023-09-30 08:52:40+00:00,{},area,141941904
15341,2023-09-30 09:08:04+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942448
6337,2023-09-30 09:08:04+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942448
11922,2023-09-30 09:10:06+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942496
7910,2023-09-30 09:10:06+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942496
11908,2023-09-30 09:11:17+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942539
10382,2023-09-30 09:11:53+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",live 30 september map controled by azerbaijan,141942549
9559,2023-09-30 09:17:09+00:00,"{'name': 'Border Azerbaijan - Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","By 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Khankendi and completely abandoned the region. Azerbaijani police vehicles began patrolling the city on 29 September.",141942740
9139,2023-09-30 09:25:00+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141942962
11264,2023-09-30 09:29:16+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141943120
7229,2023-09-30 09:31:40+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141943180
14603,2023-09-30 09:32:48+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",controled by azerbaijan army,141943206
5625,2023-09-30 09:44:37+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'note': 'Do not delete, the Artsach Republic will cease to exist Jan 1st 2024', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}","As a result of the negotiations held in Yevlakh district, Khojaly district will come under the control of the Republic of Azerbaijan on September 24, 2023. Askeran 30 September 2023.",141943617
1045,2023-09-30 10:04:44+00:00,{'entrance': 'main'},"added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
1056,2023-09-30 10:04:44+00:00,"{'name': 'Լուսիեն', 'shop': 'florist'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
504,2023-09-30 10:04:44+00:00,"{'name': 'Zhengyalov Hac', 'shop': 'bakery'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
2616,2023-09-30 10:04:44+00:00,"{'highway': 'give_way', 'direction': 'forward'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
4086,2023-09-30 10:04:44+00:00,"{'name': 'ArtsakhBank', 'amenity': 'atm'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
206,2023-09-30 10:04:44+00:00,"{'name': 'Ավոն', 'name:en': 'Avon', 'shop': 'cosmetics'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
3512,2023-09-30 10:04:44+00:00,"{'name': 'AmeriaBank', 'amenity': 'atm', 'opening_hours': '24/7', 'cash_in': 'no', 'currency:AMD': 'yes'}","added Khankendi city street azerbaijan namesBy 29 September 2023, police of the Ministry of Internal Affairs of Artsakh left all their weapons in Stepanakert and completely abandoned the region.Azerbaijani police vehicles began patrolling the city on 29",141944377
